"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ in Animal Sci","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"101
Livestock Production","001","","93","3.312","37.6","10.8","39.8","4.3","6.5",".","1.1",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","130","2.899","22.3","20.8","18.5","8.5","20.0","9.2",".",".",".",".",".",".","0.8",".",".","."
"220
Grwth,Compos&Eval-Meat Anml","001","","28","3.464","39.3","17.9","39.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"375","001","","18","3.265","22.2","22.2","33.3","16.7",".",".",".","5.6",".",".",".",".",".",".",".","."
"375","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","22","3.432","36.4","18.2","27.3","13.6",".",".",".","4.5",".",".",".",".",".",".",".","."
"399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"414
Ruminant Nutrition","001","","13","3.500","46.2","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","20","3.250","20.0","30.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","60","3.383","23.3","41.7","25.0","8.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","41","3.938","87.8","7.3","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"515
Commercial Meat Processing","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","28","3.981","85.7","3.6",".",".",".",".",".",".",".",".",".",".","7.1",".","3.6","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 35 of 403"
