"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Pract in World Lang (K-12)","243
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Videogames & Learning","277
001","","158","3.844","83.5","9.5","4.4",".","0.6",".","1.3",".",".",".",".",".","0.6",".",".","."
"Practicum-Secondary Sci Ed","290
001","","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language Acquisition and Use","311
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Wrtg in Early Childhood","315
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Visual Learning Design","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Use & Acq in Early Chldhd","326
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artistic Lives of Children","328
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Choral Music-Sec Schl","332
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Gen Music-Elem School","333
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Instrum Music-Elem","335
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","337
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages (K-8)","342
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages(6-12)","343
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Music","Course Total","","48","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Education","364
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","75","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","25","3.920","92.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","","25","3.917","88.0",".","8.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"The Teaching of Reading","Course Total","","75","3.939","92.0","1.3","5.3",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"","369
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
