"","990
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
151","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","21","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"MATH
600","Dept. Total","8148","2.874","25.9","13.1","24.8","10.2","15.6","6.0","3.4","0.3","0.0",".",".","0.1","0.4","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3198","2.878","24.7","11.2","27.8","9.9","18.0","5.3","2.8",".",".",".",".",".","0.2","0.0",".","0.0"
"Sophomore","","2266","2.809","22.4","14.2","25.3","12.1","14.6","6.2","4.5","0.0",".",".",".",".","0.4","0.1",".","0.0"
"Junior","","1288","2.789","20.6","16.2","23.9","11.6","17.0","6.4","3.9",".",".",".",".",".","0.5",".",".","."
"Senior","","870","2.754","22.4","14.5","22.2","9.2","15.6","10.3","3.8","0.2","0.1",".",".","0.2","0.8",".","0.5","0.1"
"Undergraduates","","7622","2.833","23.1","13.3","25.8","10.8","16.5","6.3","3.6","0.0","0.0",".",".","0.0","0.4","0.0","0.1","0.0"
"Special","","171","3.658","67.3","11.1","11.7","2.9","1.8","1.8","0.6","1.8",".",".",".",".",".","0.6","0.6","."
"Graduate","","355","3.697","67.0","10.1","10.7","0.8","2.5","0.3","1.1","4.2",".",".",".","2.0","1.1",".",".","."
"","Dept. Total","8148","2.874","25.9","13.1","24.8","10.2","15.6","6.0","3.4","0.3","0.0",".",".","0.1","0.4","0.0","0.1","0.0"
