"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"Issues in Special Education","200
001","20","3.775","90.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","300
001","98","3.794","75.5","17.3","1.0","3.1","1.0",".","1.0",".",".",".",".",".","1.0",".",".","."
"","300
002","100","3.889","94.0",".","3.0",".",".",".","2.0","1.0",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","198","3.842","84.8","8.6","2.0","1.5","0.5",".","1.5","0.5",".",".",".",".","0.5",".",".","."
"Behav Anal:Person-Disabilty","330
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Functional Skills","Course Total","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol. Lit. for Stdts with Dis","001
403","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Special Ed","405
003","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","464
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Special Education","466
002","50","3.700","48.0","44.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467
001","27","4.000","92.6",".",".",".",".",".",".",".",".",".",".",".",".",".","7.4","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","471
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","477
001","33","3.972","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","35","3.974","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","478
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","79","3.867","74.7","24.1","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
501","21","3.905","95.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","40","3.913","90.0","7.5",".",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","505
001","51","3.804","62.7","35.3","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessmnt Adults-Disablties","540
001","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc Asp-Chrnc Ill&Disabl","560
001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
019","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","630
020","40","3.979","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
021","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
022","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
023","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","80","3.989","96.3","2.5",".",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"Special Topics","660
024","15","3.536","40.0","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".","6.7",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 76 of 403"
