"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","220","2.774","14.5","12.3","28.6","21.8","14.5","5.5","2.3",".",".",".",".",".","0.5",".",".","."
"","300
002","126","2.932","15.1","17.5","31.0","15.1","19.0","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","346","2.831","14.7","14.2","29.5","19.4","16.2","3.8","1.7","0.3",".",".",".",".","0.3",".",".","."
"","001
305","33","2.797","15.2","3.0","39.4","6.1","33.3",".",".","3.0",".",".",".",".",".",".",".","."
"","002
305","31","3.379","41.9","9.7","29.0","3.2","9.7",".",".",".",".",".",".",".",".",".","6.5","."
"Finc Mrkts,Instns&Econ Actv","Course Total","64","3.074","28.1","6.3","34.4","4.7","21.9",".",".","1.6",".",".",".",".",".",".","3.1","."
"","320
001","26","2.885","19.2","11.5","34.6","19.2","7.7","3.8","3.8",".",".",".",".",".",".",".",".","."
"","320
002","36","2.833","19.4","5.6","27.8","22.2","22.2","2.8",".",".",".",".",".",".",".",".",".","."
"","320
003","22","2.714","9.1","9.1","31.8","27.3","9.1","9.1",".",".",".",".",".",".",".",".","4.5","."
"Investment Theory","Course Total","84","2.819","16.7","8.3","31.0","22.6","14.3","4.8","1.2",".",".",".",".",".",".",".","1.2","."
"","001
325","43","3.360","30.2","25.6","37.2","4.7",".","2.3",".",".",".",".",".",".",".",".",".","."
"","002
325","43","3.221","20.9","14.0","55.8","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"","325
003","22","3.476","50.0","13.6","18.2","4.5","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","108","3.327","30.6","18.5","40.7","5.6","2.8","0.9",".","0.9",".",".",".",".",".",".",".","."
"","001
330","52","3.231","21.2","26.9","30.8","19.2","1.9",".",".",".",".",".",".",".",".",".",".","."
"","330
002","58","3.284","24.1","27.6","31.0","15.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"","003
330","42","3.440","42.9","33.3","7.1","11.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","152","3.309","28.3","28.9","24.3","15.8","2.0",".","0.7",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","89","3.347","22.5","30.3","41.6","2.2","2.2",".",".",".",".",".",".",".",".",".","1.1","."
"Investmt Bankg & Capital Mrkts","420
001","21","3.675","47.6","38.1","4.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","18","3.324","27.8","38.9","11.1",".","16.7",".",".","5.6",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","41","3.638","36.6","56.1",".","4.9",".",".",".","2.4",".",".",".",".",".",".",".","."
"","700
001","51","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","50","3.570","40.0","36.0","22.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","48","3.521","35.4","33.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","149","3.530","36.9","32.9","29.5","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
031","33","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","735
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","37","3.311","27.0","21.6","43.2","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","750
001","27","3.593","44.4","29.6","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","32","3.864","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 55 of 403"
