"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"Human Dev: Ed Effectiveness","Course Total","532","3.821","85.5","5.8","4.3","1.7","0.4","0.9","1.1",".",".",".",".",".","0.2",".",".","."
"","125
001","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","125
003","20","3.875","85.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","125
004","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
005","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
006","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
125","13","3.654","69.2","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","008
125","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
009","17","3.706","58.8","35.3",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","125
010","19","3.658","68.4","10.5","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","125
011","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
125","18","3.806","72.2","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","125
013","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
014","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
015","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
016","17","3.656","70.6","17.6",".",".",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"A Wisconsin Experience Seminar","Course Total","273","3.834","76.9","17.6","1.8","1.5","1.1",".","0.4",".",".",".",".",".","0.7",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","24","3.896","87.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","35","3.913","91.4","5.7",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","001
650","103","3.681","68.9","14.6","8.7","3.9","1.0",".","1.9","1.0",".",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Counslng-Community Settings","791
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","807
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Couns Psych Practicum","901
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum: Supervision","902
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psy Practicum-Advanced","903
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Counseling Psych Externship","904
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Pract in Counseling Psych","905
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Counseling Psychology","925
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych","950
001","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 80 of 403"
