"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"Exploring Biology","100
001","190","3.790","72.1","16.8","6.8","2.6",".","0.5",".",".",".",".",".",".","1.1",".",".","."
"","101
001","204","2.599","18.1","6.4","29.9","8.8","20.1","11.8","4.4",".",".",".",".",".","0.5",".",".","."
"","002
101","160","2.475","11.9","3.8","34.4","5.0","28.8","10.6","4.4",".",".",".",".",".",".",".",".","1.3"
"Animal Biology","Course Total","364","2.544","15.4","5.2","31.9","7.1","23.9","11.3","4.4",".",".",".",".",".","0.3",".",".","0.5"
"","102
001","6","3.083",".","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","12","3.125","25.0","25.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
003","12","3.000",".","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
005","14","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","13","3.500","30.8","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","13","3.038","7.7","23.1","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
008","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","17","2.853","5.9","17.6","41.2","11.8","23.5",".",".",".",".",".",".",".",".",".",".","."
"","102
010","15","3.367","46.7","13.3","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","102
011","15","3.067","6.7","33.3","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","102
012","9","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
102","12","2.958","8.3","8.3","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
014","8","3.188","12.5","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","015
102","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","016
102","7","3.071","14.3","14.3","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
017","12","3.292","16.7","41.7","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
018","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","202","3.208","20.3","26.2","36.6","9.4","6.9","0.5",".",".",".",".",".",".",".",".",".","."
"General Botany","001
130","45","3.156","35.6","11.1","28.9","2.2","20.0","2.2",".",".",".",".",".",".",".",".",".","."
"","001
151","229","3.097","25.3","10.0","44.1","3.1","14.0","2.6",".",".",".",".",".",".","0.4",".",".","0.4"
"","151
002","241","3.063","16.6","15.4","48.5","6.2","9.1","2.9",".",".",".",".",".",".","1.2",".",".","."
"","151
003","165","2.891","14.5","11.5","44.2","6.1","15.2","5.5","0.6",".",".",".",".",".","1.8",".",".","0.6"
"Introductory Biology","Course Total","635","3.031","19.2","12.4","45.8","5.0","12.4","3.5","0.2",".",".",".",".",".","1.1",".",".","0.3"
"Introductory Biology","152
001","307","2.980","21.5","10.7","42.3","5.5","14.3","4.9","0.7",".",".",".",".",".",".",".",".","."
"","260
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
260","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Entering Research Part 1","Course Total","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Studies","299
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","35","3.985","94.3","2.9",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","375
002","20","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","64","3.839","81.3","10.9","6.3",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"","399
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 166 of 403",""
