"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","467
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","27","3.889","92.6",".",".","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","003
506","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
005","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","121","3.934","90.1","8.3",".","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","515
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","Course Total","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","550
001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550
002","13","3.833","38.5",".","7.7",".",".",".",".",".",".",".",".",".","53.8",".",".","."
"Meth&Matl-Early Childhd Ed","Course Total","39","3.938","74.4","5.1","2.6",".",".",".",".",".",".",".",".",".","17.9",".",".","."
"Adv Pract-Teach Soc Studies","001
559","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Human Sexuality","561
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Iss, Mtls & Mthds-Hlth Educ","567
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","001
596","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg: Number & Generalization","636
001","18","3.694","66.7","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Tchg: Algebra & Functions","639
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","660
001","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng Envr-Initial Ed Progm","663
001","26","3.750","61.5","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning 2nd Lang & Literacies","673
001","18","3.932","83.3","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","001
675","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","675
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"","675
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
675","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
