"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Religion in Global Perspective","101
001","68","3.567","45.6","39.7","7.4","1.5","1.5","1.5","1.5",".",".",".",".",".",".",".","1.5","."
"","200
001","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","200
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Topics in Relig St (H)","Course Total","19","3.972","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Islam Wrld:MidEast,500-1500","205
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Judaism","211
001","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","40","3.013","10.0","32.5","32.5","10.0","12.5",".","2.5",".",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Hist&Cult:The West","271
001","16","2.767","6.3","18.8","31.3","25.0","6.3",".","6.3","6.3",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","001
273","33","3.515","27.3","54.5","15.2",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309
001","6","3.413",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Christian Lit:Matthew-Revelatn","333
001","62","3.308","19.4","38.7","24.2","11.3","3.2",".",".","1.6",".",".",".",".",".",".",".","1.6"
"Introduction to Taoism","001
350","28","3.381","14.3","46.4","28.6","3.6",".",".",".","7.1",".",".",".",".",".",".",".","."
"Shamanism","352
001","48","3.420","31.3","41.7","12.5","2.1",".",".","4.2","4.2",".",".",".",".","2.1",".","2.1","."
"Hinduism","355
001","38","3.697","52.6","34.2","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatures-Muslim Societies","357
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","27","3.404","33.3","33.3","18.5","7.4",".","3.7",".","3.7",".",".",".",".",".",".",".","."
"Islam in Iran","379
002","12","3.375","8.3","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
400","11","2.864","18.2","18.2","27.3","27.3",".",".","9.1",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","Course Total","14","2.900","14.3","21.4","28.6","28.6",".",".","7.1",".",".",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421
001","27","3.846","85.2","7.4",".",".",".","3.7",".","3.7",".",".",".",".",".",".",".","."
"Spec Topic-Philos Relig","502
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Critical Perspective","001
600","7","3.583","14.3","71.4",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Research Colloquium for Majors","695
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","697
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"RELIG ST
856","Dept. Total","475","3.439","34.9","35.4","16.2","5.5","2.1","0.6","1.3","1.9",".","0.6",".",".","0.6",".","0.6","0.2"
