"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"765
001
Issues in Educ Policy Analysis","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
021","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
024","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Independent Reading","2","***","","","","","","","","","","","","","","","","","","","","",""
"800
001
Pub Affr Prof Devlpmnt Workshp","55","",".",".",".",".",".",".","",".","",".",".","","100.0",".","",".","",".",".",".","."
"809
001
Intro-Energy Analysis & Policy","15","3.533","26.7","53.3","20.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"818
001
Intro Stat Meths-Pub Pol Anal","58","3.593","32.8","44.8","15.5",".",".",".","",".","",".",".","",".",".","",".","","5.2",".","1.7","."
"827
001
Administrative Internship","8","",".",".",".",".",".",".","",".","","100.0",".","",".",".","",".","",".",".",".","."
"830
001
School Finance","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"850
001
International Governance","17","3.265","11.8","35.3","47.1","5.9",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"871
001
Public Program Evaluation","25","3.800","60.0","40.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"875
001
Public Personnel Adm","15","3.933","93.3",".","6.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"878
001","24","3.674","37.5","54.2","4.2",".",".",".","",".","","4.2",".","",".",".","",".","",".",".",".","."
"878
002","25","3.630","40.0","44.0",".","8.0",".",".","",".","",".",".","",".",".","",".","","8.0",".",".","."
"Course Total
Public Management","49","3.652","38.8","49.0","2.0","4.1",".","",".","",".","2.0","",".",".","",".","",".","4.1",".",".","."
"880
001
Microecon Policy Analysis","59","3.310","23.7","23.7","42.4","6.8","1.7",".","",".","",".",".","",".",".","",".","",".",".","1.7","."
"881
001
Benefit-Cost Analysis","39","3.859","79.5","12.8","7.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"974
004","12","3.636","58.3",".","33.3",".",".",".","",".","","8.3",".","",".",".","",".","",".",".",".","."
"974
005","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Topics in Public Affairs","17","3.688","58.8","11.8","23.5",".",".","",".","",".","5.9","",".",".","",".","",".",".",".",".","."
"PUB AFFR
Dept. Total
826","365","3.608","37.0","26.3","14.8","1.9","0.3","",".","",".","2.7","",".","15.1","",".","",".","1.4",".","0.5","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","21","3.654","19.0","42.9",".",".",".","",".","",".",".","",".","28.6","",".","",".","9.5",".",".","."
"Undergraduates","21","3.654","19.0","42.9",".",".",".","",".","",".",".","",".","28.6","",".","",".","9.5",".",".","."
"Special","2","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","320","3.615","39.1","24.4","15.0","2.2","0.3","",".","",".","2.8","",".","14.7","",".","",".","0.9",".","0.6","."
"Prof Yr 1","4","3.167",".","25.0","50.0",".",".","",".","",".",".","",".","25.0","",".","",".",".",".",".","."
"Prof Yr 2","5","3.250",".","40.0","40.0",".",".","",".","",".",".","",".","20.0","",".","",".",".",".",".","."
"Prof Yr 3","3","4.000","66.7",".",".",".",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","10","3.600","40.0","40.0","20.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","22","3.500","27.3","31.8","27.3",".",".","",".","",".","4.5","",".","9.1","",".","",".",".",".",".","."
"Dept. Total","365","3.608","37.0","26.3","14.8","1.9","0.3","",".","",".","2.7","",".","15.1","",".","",".","1.4",".","0.5","."
