"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","19","3.632","78.9","10.5",".",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","100
003","25","3.900","88.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","68","3.860","89.7","5.9",".","1.5","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"","001
102","18","3.833","88.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","14","3.714","71.4","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","32","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","104
001","9","3.000","22.2","33.3","11.1","11.1",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"","002
104","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
104","15","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","15","3.433","46.7","20.0","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","54","3.509","40.7","38.9","9.3","5.6","1.9",".","1.9","1.9",".",".",".",".",".",".",".","."
"","107
001","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
107","18","3.111","38.9","22.2","11.1","11.1","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","107
003","19","3.895","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
004","18","3.676","77.8","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".","5.6",".","."
"","107
005","20","3.579","35.0","50.0",".","10.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Introduction to Digital Forms","Course Total","95","3.618","61.1","22.1","6.3","4.2","1.1","1.1","2.1",".",".",".",".",".","1.1","1.1",".","."
"Foundations of Contemp Art","001
108","121","3.147","18.2","24.0","32.2","15.7","4.1","0.8","0.8",".",".",".",".",".","1.7",".","2.5","."
"","112
001","18","3.111","16.7","33.3","27.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","002
112","15","3.300","13.3","46.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","20","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
112","19","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
112","18","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","14","3.250","28.6","50.0",".","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","112
007","17","3.853","82.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
009","18","3.694","77.8","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","157","3.576","47.1","36.9","8.9","4.5","0.6","0.6","1.3",".",".",".",".",".",".",".",".","."
"","212
001","16","3.406","37.5","43.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","212
002","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","19","3.789","73.7","21.1",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","58","3.647","53.4","36.2","6.9",".","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"","214
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
003","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","10","3.550","60.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","24","3.667","62.5","25.0","8.3",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","224
001","10","2.950",".","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","224
002","12","3.083","16.7","50.0","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","22","3.023","9.1","40.9","27.3","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","232
001","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
