"EGR","","","","","","","","","","","","","","","","","","","",""
"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"Tech Communications Intrshp","398
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","430
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","430
003","","6","4.000","16.7",".",".",".",".",".",".",".",".",".",".",".","83.3",".",".","."
"Japanese for Bus & Industry","Course Total","","7","4.000","28.6",".",".",".",".",".",".",".",".",".",".",".","71.4",".",".","."
"Technical Editing","497
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","499
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
003","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Adv Technical Japanese Smr","Course Total","","7","4.000","42.9",".",".",".",".",".",".",".",".",".",".",".","57.1",".",".","."
"Engr Economics & Management","611
001","","32","3.625","53.1","18.8","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design II","623
001","","17","3.676","58.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Fluid Dynamics","625
001","","25","3.813","60.0","36.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Rsch-Japanese Technical Lit","630
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","641
001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
641","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essential Skills-Engr Prod","Course Total","","29","3.845","69.0","31.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Engineering","642
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine-Powertrn Tech&Manufact","644
001","","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Teaching in Science & Engr","654
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","660
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
660","","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Core Comp of Sustainability","Course Total","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","661
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Ecology: Sustainability","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","690
002","","17","3.656","47.1","41.2",".",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","690
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
013","","24","3.604","70.8","12.5","8.3",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","52","3.741","69.2","19.2","3.8",".","3.8",".","1.9",".",".",".",".",".","1.9",".",".","."
"Independent Study","699
063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
