"","998
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","998
060","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","998
062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","998
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Chemical Biology","Course Total","43","",".",".",".",".",".",".",".","67.4",".",".",".","32.6",".",".",".","."
"CHEM
224","Dept. Total","7252","2.996","26.0","13.2","25.1","11.1","13.9","3.7","1.8","4.2","0.0",".",".","0.6","0.2","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1989","3.011","24.6","15.4","25.8","15.1","14.1","3.3","1.2","0.1",".",".",".",".","0.3",".",".","0.1"
"Sophomore","","2086","2.993","26.9","12.6","26.8","10.4","16.6","4.3","2.1",".",".",".",".",".","0.2",".",".","0.0"
"Junior","","1460","2.880","23.8","12.9","26.7","12.1","17.3","4.2","2.7",".",".",".",".",".","0.1",".","0.1","0.1"
"Senior","","1033","2.996","31.4","11.0","26.9","10.4","11.7","4.5","2.0","0.4",".",".",".","1.2","0.4","0.1",".","0.1"
"Undergraduates","","6568","2.978","26.2","13.3","26.5","12.2","15.3","4.0","1.9","0.1",".",".",".","0.2","0.2","0.0","0.0","0.1"
"Special","","70","3.216","37.1","11.4","30.0","7.1","8.6","2.9","1.4",".",".",".",".",".",".",".","1.4","."
"Graduate","","798","3.559","39.7","9.4","7.1","0.5","0.4",".",".","37.8","0.3",".",".","4.0","0.3","0.1","0.3","0.1"
"Prof Yr 4","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Professionals","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","Dept. Total","7439","2.996","27.8","12.8","24.5","10.9","13.6","3.6","1.7","4.1","0.0",".",".","0.6","0.2","0.0","0.1","0.1"
