"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.733","70.0",".",".",".","10.0",".",".",".",".",".",".",".","10.0",".","10.0","."
"301
Intro to Sci & Technol of Food","001","","49","3.224","24.5","32.7","20.4","16.3","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"324","003","","19","3.289","26.3","36.8","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"324","004","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","","33","3.439","36.4","33.3","18.2","6.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","57","3.132","31.6","15.8","22.8","7.0","22.8",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Food Chemistry","001","","66","2.947","15.2","21.2","27.3","19.7","12.1","4.5",".",".",".",".",".",".",".",".",".","."
"437
Food Service Operations","001","","50","3.280","12.0","48.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"438","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","004","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","50","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","43","3.081","25.6","25.6","23.3","4.7","14.0","7.0",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Integrated Food Manufacturing","001","","48","3.052","8.3","18.8","56.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"535
Confectionery Science&Technlgy","001","","17","3.176","11.8","17.6","64.7","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"602
Senior Project","001","","37","3.662","43.2","45.9","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Chem of the Food Lipids","001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar Advanced","001","","40","3.875","7.5","2.5",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
