"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","101
001","21","2.524","23.8","4.8","33.3","4.8","14.3",".","19.0",".",".",".",".",".",".",".",".","."
"","002
101","24","2.438","20.8",".","37.5","4.2","16.7","4.2","16.7",".",".",".",".",".",".",".",".","."
"","003
101","24","2.708","12.5","8.3","37.5","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","004
101","23","3.065","21.7","4.3","60.9",".","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","101
005","23","2.848","21.7","4.3","47.8","8.7","8.7",".","8.7",".",".",".",".",".",".",".",".","."
"Intermediate Algebra","Course Total","115","2.717","20.0","4.3","43.5","5.2","14.8","3.5","8.7",".",".",".",".",".",".",".",".","."
"","112
001","23","2.804","26.1","4.3","34.8",".","21.7","13.0",".",".",".",".",".",".",".",".",".","."
"","112
002","20","3.075","30.0","5.0","35.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","112
003","19","2.263","21.1",".","31.6",".","15.8","15.8","15.8",".",".",".",".",".",".",".",".","."
"","112
004","19","3.079","42.1","5.3","26.3",".","21.1",".","5.3",".",".",".",".",".",".",".",".","."
"","112
005","21","2.595","9.5",".","47.6","14.3","19.0","4.8","4.8",".",".",".",".",".",".",".",".","."
"","112
006","20","2.475","5.0",".","55.0","5.0","25.0",".","10.0",".",".",".",".",".",".",".",".","."
"","112
007","17","3.063","29.4",".","35.3","11.8","17.6",".",".",".",".",".",".",".","5.9",".",".","."
"","112
009","20","2.500","20.0","5.0","15.0","15.0","25.0","20.0",".",".",".",".",".",".",".",".",".","."
"","112
010","20","2.625","5.0","15.0","45.0",".","25.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","011
112","22","3.182","40.9",".","31.8","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","112
012","20","2.950","25.0","20.0","30.0",".","10.0","15.0",".",".",".",".",".",".",".",".",".","."
"","013
112","21","3.119","42.9","9.5","19.0","4.8","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"","112
014","22","2.682","13.6","9.1","50.0",".","13.6","4.5","9.1",".",".",".",".",".",".",".",".","."
"","112
015","23","2.413","13.0","13.0","17.4","8.7","30.4","8.7","8.7",".",".",".",".",".",".",".",".","."
"","016
112","24","2.958","29.2","4.2","25.0","20.8","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","112
017","20","3.175","40.0","5.0","35.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","018
112","21","2.619","14.3","9.5","33.3","9.5","19.0","9.5","4.8",".",".",".",".",".",".",".",".","."
"","112
019","21","2.381","9.5","14.3","23.8","4.8","23.8","19.0","4.8",".",".",".",".",".",".",".",".","."
"","112
020","20","3.100","15.0","20.0","50.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","112
021","14","2.357","7.1","7.1","42.9","7.1","7.1","21.4","7.1",".",".",".",".",".",".",".",".","."
"","112
022","22","2.705","22.7",".","45.5","4.5","13.6","4.5","9.1",".",".",".",".",".",".",".",".","."
"","112
024","23","2.500","13.0","13.0","30.4",".","21.7","17.4","4.3",".",".",".",".",".",".",".",".","."
"","026
112","21","3.095","33.3","4.8","38.1","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","473","2.772","22.2","7.2","34.5","6.1","18.0","8.0","3.8",".",".",".",".",".","0.2",".",".","."
"","113
003","13","2.538",".","7.7","15.4","53.8","23.1",".",".",".",".",".",".",".",".",".",".","."
"","113
005","21","3.119","19.0","19.0","33.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","113
006","20","2.553",".","10.0","35.0","25.0","20.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","007
113","30","2.633","20.0",".","30.0","13.3","23.3","13.3",".",".",".",".",".",".",".",".",".","."
"","113
008","13","2.923","23.1","15.4","23.1","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","97","2.750","13.4","9.3","28.9","23.7","17.5","5.2","1.0","1.0",".",".",".",".",".",".",".","."
"","114
001","205","2.688","15.1","10.7","20.5","16.6","30.7","2.4","2.4",".",".",".",".",".","1.5",".",".","."
"","114
002","179","2.616","9.5","10.6","29.1","8.4","35.8","3.9","1.7",".",".",".",".",".","1.1",".",".","."
"Algebra and Trigonometry","Course Total","384","2.654","12.5","10.7","24.5","12.8","33.1","3.1","2.1",".",".",".",".",".","1.3",".",".","."
"","130
002","20","2.850","20.0","15.0","25.0","15.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"","130
003","20","3.025","30.0","15.0","20.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","004
130","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math for","Course Total","47","2.989","23.4","17.0","27.7","14.9","10.6","4.3","2.1",".",".",".",".",".",".",".",".","."
"","002
131","18","2.889","22.2","11.1","22.2","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","131
003","17","2.882","17.6","23.5","23.5",".","29.4","5.9",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 253 of 403",""
