"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","800
023","12","3.591","41.7","25.0","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","025
800","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
026","11","3.813","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"","800
027","13","3.750","61.5","23.1",".","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"","800
028","12","3.450","25.0","41.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"Field Prac/Integrat Smr III","Course Total","158","3.805","61.4","17.7","6.3","1.9",".",".",".",".",".",".",".",".","12.7",".",".","."
"","835
001","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","17","3.656","47.1","29.4","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","35","3.750","57.1","31.4","8.6",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","836
001","27","3.704","48.1","44.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
002","24","3.313","12.5","41.7","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","51","3.520","31.4","43.1","23.5","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","49","3.806","61.2","38.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","869
001","16","3.847","62.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Clin Interventn-Mental Illness","870
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Hlth, Aging, Disablty","874
001","26","3.481","50.0","19.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","875
001","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
920","24","3.646","29.2","70.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
003","14","3.071","21.4","14.3","21.4","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","49","3.551","40.8","40.8","6.1","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Faculty Research Seminar","946
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Proseminar","950
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","14","",".",".",".",".",".",".",".","64.3","7.1",".",".","28.6",".",".",".","."
"","999
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
