"","515
001","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","515
002","7","4.000","100.0",".",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Holocaust: Hist, Memory & Educ","Course Total","12","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","699
003","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"JEWISH
510","Dept. Total","159","3.417","28.3","30.8","22.6","5.0","2.5","",".","",".","9.4","",".",".","",".","",".","",".","1.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","24","3.322","20.8","41.7","25.0","4.2","8.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","47","3.329","12.8","51.1","25.5","8.5","2.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","35","3.454","34.3","28.6","28.6","5.7",".","",".","",".","2.9","",".",".","",".","",".","",".",".",".","."
"Senior","","36","3.573","58.3","13.9","22.2","2.8","2.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","142","3.415","31.0","34.5","25.4","5.6","2.8","",".","",".","0.7","",".",".","",".","",".","",".",".",".","."
"Special","","16","",".",".",".",".",".","",".","",".","87.5","",".",".","",".","",".","",".","12.5",".","."
"Graduate","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","159","3.417","28.3","30.8","22.6","5.0","2.5","",".","",".","9.4","",".",".","",".","",".","",".","1.3",".","."
