"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"676","022","","16","3.492","37.5","25.0","25.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"676","027","","25","3.474","28.0","44.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"676","030","","76","3.974","97.4","1.3",".","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","","117","3.643","74.4","13.7","8.5","2.6",".",".",".","0.9",".",".",".",".",".",".",".","."
"681","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"697","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","22","",".",".",".",".",".",".",".",".",".","90.9",".",".",".",".","4.5","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.864","61.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"805
Smr-Communicatn Rsch Method","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Concep&Design-Mass Com Rsch","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"819
History of Mass Communication","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Political Communication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"830
Internatnl/Develpmnt Commun","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Mass Communicatn&Individual","001","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","016","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"880","022","","9","3.688","33.3","55.6",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","19","3.694","47.4","42.1",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","003","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 239 of 403",""
