"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Sophomore","10","4.000","90.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".","10.0","."
"Junior","31","3.984","90.3","3.2",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".","6.5","."
"Senior","49","3.920","83.7","4.1","4.1",".","",".","",".","",".","",".","",".",".","",".",".","2.0",".","6.1","."
"Undergraduates","91","3.949","86.8","3.3","2.2",".","",".","",".","",".","",".","",".",".","",".",".","1.1",".","6.6","."
"Special","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Graduate","10","",".",".",".",".","",".","",".","",".","50.0","","",".",".","",".","50.0",".",".",".","."
"Prof Yr 3","47","3.434","40.4","21.3","34.0",".","",".","",".","",".","",".","",".",".","",".","2.1",".",".",".","2.1"
"Prof Yr 4","184","3.851","73.9","23.4","2.7",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Professionals","231","3.721","67.1","22.9","9.1",".","",".","",".","",".","",".","",".",".","",".","0.4",".",".",".","0.4"
