"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Society's Egr Challenges","102
001","125","3.577","40.8","44.0","11.2",".","1.6","0.8","0.8",".","",".","",".",".","",".","","0.8",".",".","."
"Core Comp for Engr Leaders","103
001","34","3.574","58.8","11.8","20.6","2.9","5.9",".",".",".","",".","",".",".","",".","",".",".",".","."
"Intro Engr Design Process","111
001","51","3.549","27.5","58.8","11.8",".","2.0",".",".",".","",".","",".",".","",".","",".",".",".","."
"","160
001","226","3.686","57.1","27.4","13.3","0.9","0.9","0.4",".",".","",".","",".",".","",".","",".",".",".","."
"","160
002","221","3.672","57.5","24.9","14.0","1.8","1.8",".",".",".","",".","",".",".","",".","",".",".",".","."
"Intro to Engineering Design","Course Total","447","3.679","57.3","26.2","13.6","1.3","1.3","0.2",".","",".","",".",".","",".","",".",".",".",".","."
"","301
001","12","3.526","25.0","58.3","16.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","301
002","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Engr & Biology: Tech Symbiosis","Course Total","15","3.563","26.7","60.0","13.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Current Issues in Intl Engr","413
001","20","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Topics-Interdis Engineering","601
003","20","3.705","60.0","25.0","5.0","10.0",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"INTEREGR
496","Dept. Total","712","3.656","52.9","30.9","12.8","1.3","1.5","0.3","0.1","",".","",".",".","",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","437","3.616","47.6","32.5","16.2","1.4","1.6","0.2","0.2","",".","",".",".","",".","",".","0.2",".",".","."
"Sophomore","","281","3.711","69.0","22.1","5.7","0.4","1.4","0.4",".","",".","",".",".","",".","",".",".","1.1",".","."
"Junior","","128","3.853","95.3","3.9","0.8",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","59","3.694","76.3","13.6","5.1","3.4",".",".",".","",".","",".",".","",".","",".",".","1.7",".","."
"Undergraduates","","905","3.655","62.9","24.0","10.1","1.0","1.2","0.2","0.1","",".","",".",".","",".","",".","0.1","0.4",".","."
"Special","","4","3.833","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","4","3.900","75.0","25.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","913","3.656","62.9","24.1","10.0","1.0","1.2","0.2","0.1","",".","",".",".","",".","",".","0.1","0.4",".","."
