"","990
084","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
092","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
097","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","36","",".",".",".",".",".","",".","",".","80.6",".",".",".","8.3","11.1",".",".","."
"POP HLTH
810","Dept. Total","617","3.797","61.3","18.0","5.2",".","0.2","",".","",".","5.0",".","6.8",".","0.5","2.3",".","0.6","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","3.833","66.7","33.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","16","3.656","50.0","31.3","18.8",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","56","3.540","30.4","39.3","17.9",".","1.8","",".","",".","3.6",".","5.4",".",".",".",".",".","1.8"
"Undergraduates","","75","3.576","36.0","37.3","17.3",".","1.3","",".","",".","2.7",".","4.0",".",".",".",".",".","1.3"
"Special","","26","3.862","73.1","15.4","3.8",".",".","",".","",".","3.8",".",".",".",".",".",".","3.8","."
"Graduate","","187","3.819","58.3","19.3","4.3",".",".","",".","",".","13.9",".","0.5",".","1.6","1.6",".","0.5","."
"Prof Yr 1","","77","3.988","96.1","2.6",".",".",".","",".","",".",".",".",".",".",".",".",".","1.3","."
"Prof Yr 2","","39","3.929","84.6","5.1","2.6",".",".","",".","",".","2.6",".",".",".",".","5.1",".",".","."
"Prof Yr 3","","14","3.933","78.6",".","7.1",".",".","",".","",".",".",".","7.1",".",".","7.1",".",".","."
"Prof Yr 4","","199","3.808","52.8","19.6","4.0",".",".","",".","",".","0.5",".","18.6",".",".","4.0",".","0.5","."
"Professionals","","329","3.856","67.8","13.1","3.0",".",".","",".","",".","0.6",".","11.6",".",".","3.3",".","0.6","."
"","Dept. Total","617","3.797","61.3","18.0","5.2",".","0.2","",".","",".","5.0",".","6.8",".","0.5","2.3",".","0.6","0.2"
