"MED","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","679","3.105","34.0","10.5","30.5","3.1","11.3","2.5","1.5","5.4","",".",".","",".","0.6","0.1","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","81","2.710","16.0","2.5","43.2","7.4","23.5","3.7","3.7",".","",".",".","",".",".",".",".",".","."
"Junior","","155","3.128","35.5","3.9","41.3","3.9","11.0","2.6","1.3",".","",".",".","",".",".",".",".","0.6","."
"Senior","","187","3.104","43.3","6.4","28.9","2.7","12.8","4.8","1.1",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","423","3.032","35.2","4.7","36.2","4.0","14.2","3.8","1.7",".","",".",".","",".",".",".",".","0.2","."
"Special","","17","3.007","29.4","5.9","29.4",".","17.6","5.9",".","11.8","",".",".","",".",".",".",".",".","."
"Graduate","","143","3.492","27.3","28.7","12.6","0.7","2.8",".","1.4","23.1","",".",".","",".","1.4","0.7","1.4",".","."
"Prof Yr 1","","86","3.273","39.5","9.3","34.9","3.5","11.6",".","1.2",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","9","3.571","44.4","11.1","11.1",".",".",".",".","22.2","",".",".","",".","11.1",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"Professionals","","96","3.283","39.6","9.4","32.3","3.1","10.4",".","1.0","2.1","",".",".","",".","2.1",".",".",".","."
"","Dept. Total","679","3.105","34.0","10.5","30.5","3.1","11.3","2.5","1.5","5.4","",".",".","",".","0.6","0.1","0.3","0.1","."
