"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"710
Computational Complexity","001","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Methods of Computatnl Math I","001","","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"726
Nonlinear Optimization I","001","","26","3.375","30.8","26.9","23.1","3.8","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"736
Advanced Operating Systems","001","","26","3.780","61.5","26.9","7.7",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"739
Distributed Systems","001","","31","3.917","80.6","16.1",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"752
Adv Computer Architecture I","001","","12","3.208","33.3","41.7","8.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"756
Computer-Aided Desgn-VLSI","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"758
Adv Topics-Comptr Architecture","001","","12","3.636","41.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"760
Machine Learning","001","","47","3.598","44.7","36.2","14.9",".",".","2.1",".","2.1",".",".",".",".",".",".",".","."
"764
Topics-Database Mgt Systems","001","","38","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Human-Computer Interaction","001","","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"784
Data Models and Languages","001","","11","3.800","54.5","36.4",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"799","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","10","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","71","",".",".",".",".",".",".",".","73.2",".",".",".","11.3",".",".","15.5","."
"838
Topics in Computing","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Computational Cognitive Sci","001","","36","3.231","13.9","11.1","5.6",".","2.8",".","2.8",".",".",".",".",".","2.8",".","61.1","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 191 of 403",""
