"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"467","001","","15","3.433","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"467","002","","14","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound","Course Total","","29","3.431","31.0","31.0","31.0","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"470
Contemp Political Discourse","001","","48","3.372","25.0","41.7","22.9","6.3",".",".","2.1",".",".",".",".",".","2.1",".",".","."
"472
Rhetoric and Technology","001","","54","3.623","63.0","20.4","5.6","5.6",".","1.9","1.9",".",".",".",".",".","1.9",".",".","."
"552
American Cinema Since 1970","001","","66","3.203","10.6","37.9","31.8","13.6","3.0",".",".",".",".",".",".",".",".","3.0",".","."
"560
Communication Theory","001","","19","3.289","42.1","15.8","21.1","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"577
Dynamics of Online Relatnshps","001","","25","3.080","20.0","28.0","24.0","12.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"608","001","","19","3.444","31.6","52.6","5.3",".",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"608","002","","20","3.425","40.0","35.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","Course Total","","39","3.434","35.9","43.6","12.8",".",".",".","5.1",".",".",".",".",".","2.6",".",".","."
"609","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"609","002","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","Course Total","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"610","001","","15","3.429","40.0","6.7","40.0","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"610","003","","16","3.594","50.0","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"610","004","","22","3.545","40.9","31.8","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","Course Total","","53","3.529","43.4","20.8","30.2","3.8",".",".",".",".",".",".",".",".","1.9",".",".","."
"613","001","","10","3.222","10.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"613","002","","15","3.615","40.0","26.7","20.0",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"613","004","","20","3.350","15.0","45.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Film","Course Total","","45","3.405","22.2","35.6","31.1","4.4",".",".",".","2.2",".",".",".",".","4.4",".",".","."
"614","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"615","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","4","***","","","","","","","","","","","","","","","",""
"616
Mass Media and Youth","002","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
German Film","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"664
Classical Film Theory","001","","9","3.278",".","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 182 of 403",""
