"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Quantitatve Macro-Econ Anal","965
001","23","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".",".","."
"Workshop-Public Economics","968
001","18","",".",".",".",".",".",".",".","100.0",".","",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977
001","16","",".",".",".",".",".",".",".","100.0",".","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","5227","3.034","23.8","20.2","23.6","14.9","11.5","3.1","1.2","0.9","",".","0.1","0.0","0.1","0.2","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","811","3.001","19.7","20.7","23.9","18.0","14.3","2.1","0.9",".","",".",".",".",".","0.4",".",".","."
"Sophomore","","1163","3.028","19.8","23.5","24.1","15.6","13.0","3.2","0.5","0.1","",".",".",".",".","0.3",".",".","."
"Junior","","1176","2.899","18.5","19.6","24.5","15.7","13.7","5.4","2.0",".","",".","0.1",".",".","0.2","0.1","0.2","0.1"
"Senior","","1423","2.972","20.9","18.6","26.6","16.4","11.4","3.2","1.8","0.1","",".","0.1","0.1","0.1","0.2","0.2","0.1","0.1"
"Undergraduates","","4573","2.972","19.8","20.5","25.0","16.3","12.9","3.6","1.4","0.1","",".","0.1","0.0","0.0","0.2","0.1","0.1","0.0"
"Special","","96","3.610","59.4","10.4","10.4","1.0","4.2","1.0","1.0","5.2","",".",".",".",".","1.0","2.1","4.2","."
"Graduate","","556","3.596","50.9","19.6","15.3","5.6","1.6",".","0.2","6.7","",".",".",".","0.2",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","5227","3.034","23.8","20.2","23.6","14.9","11.5","3.1","1.2","0.9","",".","0.1","0.0","0.1","0.2","0.1","0.1","0.0"
