"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"ESL:Acad Presentatns & Disc","326","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English Phonology","330","001","","38","3.382","36.8","28.9","21.1","5.3","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","331","001","","29","3.621","44.8","41.4","10.3",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","333","001","","30","3.948","86.7","10.0",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","19","3.806","63.2","26.3","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Techniques&Materials for TESOL","335","001","","11","3.364","36.4","18.2","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","338","002","","35","3.186","22.9","40.0","17.1","8.6","5.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"Figures of Medieval Eng Lit","361","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Outstandg Figures-16thc Lit","401","001","","19","3.722","52.6","31.6","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","417","001","","35","3.500","40.0","40.0","5.7","5.7","2.9","2.9",".",".",".",".",".",".","2.9",".",".","."
"","417","002","","18","3.194","22.2","27.8","38.9",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","53","3.394","34.0","35.8","17.0","3.8","3.8","3.8",".",".",".",".",".",".","1.9",".",".","."
"Theme in 17c Eng Lit","426","001","","24","3.271","16.7","58.3","4.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Outstnd Figures-18c Eng Lit","441","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442","001","","27","3.426","40.7","22.2","25.9","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","33","3.629","39.4","39.4","15.2",".",".",".",".","3.0",".",".",".",".","3.0",".",".","."
"Jr Honors Seminar in Major","481","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mod British Lit Since 1914","507","001","","24","2.979","12.5","25.0","29.2","12.5","20.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","516","001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","22","2.773","27.3","9.1","22.7","9.1","18.2","9.1","4.5",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","10","3.389","40.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Asian Amer Women Writers","595","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Figures of Early Amer Lit","605","001","","16","3.594","62.5","18.8","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Theme of Early Amer Lit","606","001","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Theme in 19th C Amer Lit","626","003","","24","3.545","33.3","37.5","16.7","4.2",".",".",".","4.2",".",".",".",".",".","4.2",".","."
"","630","001","","17","3.438","29.4","23.5","41.2",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","630","002","","27","3.759","55.6","40.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 20th C Amer Lit","","Course Total","","44","3.640","45.5","34.1","18.2",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Figures of Contemp Amer Lit","631","001","","18","3.278","33.3","33.3",".","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Maj Amer Novelists-1914-45","635","001","","35","3.471","37.1","34.3","17.1","5.7",".","2.9",".",".",".",".",".",".","2.9",".",".","."
"","672","001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","672","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","","Course Total","","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 204 of 403",""
