"Geriatric Psychiat Clrk-VAH","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","",""
"","946
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","946
004","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Child Psych Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","","50","3.572","44.0","36.0","16.0","4.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","28","3.411","21.4","46.4","25.0","7.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","16","3.788","62.5","31.3","6.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","44","3.530","36.4","40.9","18.2","4.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","50","3.572","44.0","36.0","16.0","4.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
