"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","266","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","52","3.992","92.3","1.9",".",".",".",".",".",".",".",".",".",".","3.8",".","1.9","."
"700
Intro Prosmr-Grad Students","001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"724
Intermed Political Sociol","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"735
EmethodologyConvAnalysis","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"750
Research Methods-Sociology","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Survey Methods-Social Rsch","001","","31","3.643","29.0","29.0","9.7",".",".",".",".","25.8",".",".",".",".","6.5",".",".","."
"797
Introduction to Epidemiology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"875","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","27","3.333",".","7.4","3.7",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922
Smr-Race & Ethnic Relations","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"929
Class Analysis&Hist Change","001","","13","3.955","76.9","7.7",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"930
Seminar - Socio-Legal Studies","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"948
Seminar: Environmental Sociol","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Smr-Qualitative Methodology","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Smr-Adv Social Psychology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"983
Research: Economic Sociology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","8","3.800","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 303 of 403",""
