"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3301","3.293","35.9","21.8","17.8","7.8","6.8","2.2","1.1","4.5","",".","0.7","",".","0.4","0.8","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","649","3.062","20.0","25.1","26.2","12.9","11.2","3.1","0.8",".","",".",".","",".",".","0.6",".",".","."
"Sophomore","","655","3.373","39.1","25.3","20.3","7.0","6.1","1.5","0.5","0.2","",".",".","",".",".",".",".",".","."
"Junior","","747","3.355","44.7","21.0","16.1","6.6","7.1","1.7","1.9",".","",".","0.1","",".",".","0.7",".","0.1","."
"Senior","","818","3.256","34.7","23.3","18.7","8.9","6.5","3.4","1.5","0.2","",".","0.5","",".","0.6","1.2","0.1","0.2","."
"Undergraduates","","2869","3.263","35.0","23.6","20.1","8.8","7.6","2.5","1.2","0.1","",".","0.2","",".","0.2","0.7","0.0","0.1","."
"Special","","32","3.160","31.3","25.0","9.4","6.3","9.4","3.1","3.1","9.4","",".",".","",".",".","3.1",".",".","."
"Graduate","","398","3.846","42.5","8.5","2.0","0.8",".",".",".","36.2","",".","4.5","",".","2.3","2.0","0.3","1.0","."
"Prof Yr 4","","2","3.000","50.0",".",".",".","50.0",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","3.000","50.0",".",".",".","50.0",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3301","3.293","35.9","21.8","17.8","7.8","6.8","2.2","1.1","4.5","",".","0.7","",".","0.4","0.8","0.1","0.2","."
