"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"463
Radioisotopes-Med & Biology","001","","23","3.573","30.4","47.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"471","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Medical Physics","Course Total","","9","3.833","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"501
Radiolgcal Physcs&Dosimetry","002","","26","3.700","53.8","30.8","7.7","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"567
Physics-Diagnostic Radiol","001","","17","3.588","47.1","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Adv Radiation Treatment Planng","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Med Img Sci:Math & Cncpt Fndtn","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"577
X-ray Computed Tomography","001","","7","3.500","42.9","14.3",".",".","14.3",".",".","28.6",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"661
Rad Lab-Radiotherapy Physic","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"662
Rad Lab-Diagnstc Rad Phys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664
Rad Lab - Health Physics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Rad Lab:CT,MRI,&DSA Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"679
Radiation Physics Metrology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Adv in Med Magnet Resonance","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Advanced Ultrasound Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","13","",".",".",".",".",".",".",".","7.7",".",".",".","92.3",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","075","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","3","***","","","","","","","","","",".",".",".",".",".",".","."
