"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"564","006","","6","2.667","16.7","16.7","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","24","3.104","33.3","16.7","25.0","12.5","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"565
Biophysical Chemistry","001","","119","3.174","39.5","6.7","24.4","14.3","10.1","4.2",".",".",".",".",".",".","0.8",".",".","."
"608
Symmtry/Bondng/Molec Shapes","001","","10","3.638","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Instrumental Analysis","001","","23","3.624","52.2","26.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"622
Organic Analysis","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"624
Electrochemistry","001","","20","3.366","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"630
Topics-Analytical Chemistry","001","","23","3.544","30.4","47.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Advanced Organic Chemistry","001","","25","3.261","12.0","24.0","56.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"661
Chem & Stat Thermodynamics","001","","17","3.281","23.5","17.6","47.1",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"665
Biophysical Chemistry","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"668
Biophysical Spectroscopy","001","","32","3.583","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Intro Quantum Chemistry","001","","19","3.528","52.6","5.3","26.3","10.5",".",".",".",".",".",".",".",".","5.3",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"691
Senior Thesis","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
