"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Intro to Theory of Computing","520","001","","56","3.464","37.5","39.3","10.7","7.1","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","22","3.568","54.5","18.2","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Image Processing","533","001","","11","3.227","18.2","18.2","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Photography","534","001","","47","3.478","46.8","23.4","17.0","6.4",".","4.3",".","2.1",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536","001","","54","3.111","29.6","29.6","14.8","11.1","7.4","1.9","5.6",".",".",".",".",".",".",".",".","."
"","537","001","","50","3.159","40.0","14.0","20.0","12.0","6.0","6.0","2.0",".",".",".",".",".",".",".",".","."
"","537","002","","64","3.471","50.0","18.8","20.3","6.3","1.6","3.1",".",".",".",".",".",".",".",".",".","."
"","537","003","","45","3.733","77.8","11.1","4.4",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","","Course Total","","159","3.436","54.7","15.1","15.7","6.3","4.4","3.1","0.6",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539","001","","11","2.773","18.2","9.1","36.4","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","540","001","","63","3.000","19.0","12.7","34.9","19.0","12.7","1.6",".",".",".",".",".",".",".",".",".","."
"","540","002","","58","3.246","25.9","20.7","29.3","20.7","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","","Course Total","","121","3.117","22.3","16.5","32.2","19.8","7.4","0.8",".","0.8",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","12","1.875",".",".","16.7","25.0","33.3","8.3","16.7",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Graphics","559","001","","36","3.097","11.1","33.3","41.7","2.8","8.3",".","2.8",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564","001","","72","3.298","37.5","20.8","22.2","5.6","11.1","1.4",".",".",".",".",".",".",".","1.4",".","."
"Introduction to Bioinformatics","576","001","","32","3.156","28.1","31.3","12.5","12.5","12.5",".","3.1",".",".",".",".",".",".",".",".","."
"","577","001","","47","3.067","21.3","8.5","42.6","12.8","8.5","2.1",".",".",".",".",".",".","4.3",".",".","."
"","577","002","","58","2.991","27.6","6.9","36.2","5.2","15.5","6.9",".","1.7",".",".",".",".",".",".",".","."
"Introduction to Algorithms","","Course Total","","105","3.025","24.8","7.6","39.0","8.6","12.4","4.8",".","1.0",".",".",".",".","1.9",".",".","."
"Undergrad Topics-Computing","638","001","","24","3.521","41.7","20.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640","001","","46","3.120","32.6","17.4","19.6","19.6","4.3","4.3","2.2",".",".",".",".",".",".",".",".","."
"","681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","15","3.893","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction of Compilers","701","001","","29","3.679","51.7","37.9",".","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Analysis of Software Artifacts","706","001","","19","3.237","31.6","21.1","31.6","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
