"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","2595","3.548","40.6","10.5","9.9","2.0","1.8","0.3","0.1","32.8","",".",".",".","0.3","0.2",".","1.6","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.500","90.0",".",".",".","10.0",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","14","3.409","71.4","7.1","14.3",".",".",".","7.1",".","",".",".",".",".",".",".",".","."
"Junior","","34","3.417","58.8","11.8","11.8","8.8","8.8",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","50","3.613","64.0","18.0","10.0",".","8.0",".",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","108","3.519","65.7","13.0","10.2","2.8","7.4",".","0.9",".","",".",".",".",".",".",".",".","."
"Special","","16","3.846","31.3",".",".",".","6.3",".",".","62.5","",".",".",".",".",".",".",".","."
"Graduate","","93","3.950","32.3","6.5",".",".",".",".",".","51.6","",".",".",".","8.6","1.1",".",".","."
"Prof Yr 1","","494","3.304","43.1","18.0","22.1","6.7","5.1","1.4","0.2","3.2","",".",".",".",".",".",".","0.2","."
"Prof Yr 2","","618","3.749","59.1","17.6","8.4","1.0","0.3",".",".","13.6","",".",".",".",".",".",".",".","."
"Prof Yr 3","","642","3.491","24.0","8.4","13.1","1.7","1.7",".",".","50.9","",".",".",".",".","0.2",".",".","."
"Prof Yr 4","","701","4.000","30.7",".",".",".",".",".",".","63.3","",".",".",".",".","0.3",".","5.7","."
"Professionals","","2455","3.544","38.6","10.3","10.0","2.0","1.5","0.3","0.0","35.5","",".",".",".",".","0.1",".","1.7","."
"","College Total","2672","3.548","39.4","10.2","9.6","2.0","1.8","0.3","0.1","34.8","",".",".",".","0.3","0.1",".","1.5","."
