"","990
084","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
086","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","80","",".",".",".",".",".","",".","",".","55.0",".",".",".","45.0",".",".",".","."
"MED PHYS
621","Dept. Total","237","3.740","39.7","15.6","5.5","0.4","0.4","",".","",".","20.7",".",".",".","15.2","2.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","26","3.572","57.7","15.4","19.2","3.8","3.8","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","29","3.617","62.1","13.8","17.2","3.4","3.4","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","8","3.545","12.5","25.0","12.5",".",".","",".","",".","50.0",".",".",".",".",".",".",".","."
"Graduate","","200","3.782","37.5","15.5","3.5",".",".","",".","",".","22.5",".",".",".","18.0","3.0",".",".","."
"","Dept. Total","237","3.740","39.7","15.6","5.5","0.4","0.4","",".","",".","20.7",".",".",".","15.2","2.5",".",".","."
