"Crusades: Christianity & Islam","309
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"In Transl:Scand Tale&Ballad","345
001","","9","3.611","22.2","77.8",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Figures of Medieval Eng Lit","361
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Old Norse","407
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MEDIEVAL
633","Dept. Total","","15","3.445","33.3","53.3","6.7",".","",".","",".","6.7","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.750","50.0","50.0",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","1","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","5","3.053","20.0","60.0",".",".","",".","",".","20.0","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","7","3.593","28.6","57.1","14.3",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","15","3.445","33.3","53.3","6.7",".","",".","",".","6.7","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","15","3.445","33.3","53.3","6.7",".","",".","",".","6.7","",".","",".",".","",".","",".","",".",".",".","."
