"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","406
001","32","3.281","25.0","15.6","53.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","406
002","8","3.188","12.5","12.5","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","40","3.263","22.5","15.0","57.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","603
001","37","3.514","35.1","32.4","32.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
603","55","3.555","38.2","34.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","92","3.538","37.0","33.7","29.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","34","3.221","29.4","14.7","38.2","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","620
002","32","3.281","28.1","18.8","40.6","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","66","3.250","28.8","16.7","39.4","6.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","001
621","46","3.207","28.3","19.6","19.6","30.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"","621
002","32","3.203","12.5","31.3","43.8","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","78","3.205","21.8","24.4","29.5","21.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"","630
001","42","3.500","31.0","38.1","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","32","3.484","40.6","21.9","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","630
003","24","3.417","20.8","41.7","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","98","3.474","31.6","33.7","32.7","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","50","3.560","28.0","66.0","2.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","700
002","51","3.569","31.4","51.0","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","50","3.540","28.0","54.0","16.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","33","3.939","97.0",".",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","184","3.625","41.3","46.7","9.8","1.1","0.5","0.5",".",".",".",".",".",".",".",".",".","."
"","701
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
701","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","701
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","2","***","","","","","","","","","","","","","","","",""
"","706
001","19","3.553","47.4","15.8","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","40","3.463","32.5","27.5","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","59","3.492","37.3","23.7","39.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","29","3.661","58.6","13.8","20.7","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"","710
002","25","3.600","60.0","4.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","54","3.632","59.3","9.3","25.9","3.7",".",".",".","1.9",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","42","3.869","76.2","21.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","31","3.694","48.4","41.9","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","73","3.795","64.4","30.1","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","001
772","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 53 of 403"
