"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","20","",".",".",".",".",".",".",".","70.0",".",".",".","25.0","5.0",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","3.773","28.6","28.6",".",".",".",".",".","28.6",".",".",".",".","14.3",".",".","."
