"Individual Research in Lit","Course Total","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3","",".",".",".","."
"","991
004","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","991
010","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Linguistc&Germanic Philolgy","Course Total","3","***","","","","","","","","","","","","","","","","",""
"GERMAN
424","Dept. Total","887","3.625","62.8","17.2","10.6","3.8","1.5","1.1","1.0","1.7",".",".",".","0.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","187","3.684","63.1","18.7","13.9","1.6","2.1","0.5",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","170","3.548","54.1","24.7","13.5","4.1","1.2","0.6","1.8",".",".",".",".",".","",".",".",".","."
"Junior","","177","3.569","61.6","16.9","10.7","6.2","1.7","1.7","1.1",".",".",".",".",".","",".",".",".","."
"Senior","","197","3.521","56.3","18.3","12.2","6.6","2.0","2.5","1.5","0.5",".",".",".",".","",".",".",".","."
"Undergraduates","","731","3.583","58.8","19.6","12.6","4.7","1.8","1.4","1.1","0.1",".",".",".",".","",".",".",".","."
"Special","","18","3.545","55.6","11.1","5.6",".",".",".","5.6","22.2",".",".",".",".","",".",".",".","."
"Graduate","","136","3.959","84.6","5.9","0.7",".",".",".",".","7.4",".",".",".","1.5","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","887","3.625","62.8","17.2","10.6","3.8","1.5","1.1","1.0","1.7",".",".",".","0.2","",".",".",".","."
