"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","43","3.884","90.7","4.7",".",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"","160
002","20","3.650","55.0","35.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","160
003","17","3.529","47.1","29.4","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","37","3.595","51.4","32.4","2.7","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"","170
002","19","3.368","31.6","31.6","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","24","3.229","25.0","37.5","20.8","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","170
004","21","3.357","23.8","52.4","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","64","3.313","26.6","40.6","14.1","12.5","4.7",".","1.6",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","001
231","196","2.949","19.9","22.4","24.5","17.3","8.2","2.0","5.1",".",".",".",".",".",".","0.5",".","."
"Dynamics","240
001","126","3.107","9.5","35.7","30.2","20.6","2.4","0.8","0.8",".",".",".",".",".",".",".",".","."
"","291
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","2","***","","","","","","","","","","","","","","","",""
"Independent Study","299
050","26","3.952","88.5","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","306
001","74","2.649","10.8","14.9","21.6","23.0","20.3","6.8","2.7",".",".",".",".",".",".",".",".","."
"","306
002","78","2.799","14.1","20.5","19.2","16.7","23.1","2.6","2.6",".",".",".",".",".","1.3",".",".","."
"Mechanics of Materials","Course Total","152","2.725","12.5","17.8","20.4","19.7","21.7","4.6","2.6",".",".",".",".",".","0.7",".",".","."
"","307
001","12","3.042","33.3",".","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"","002
307","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","11","3.136","9.1","36.4","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","11","2.955","9.1","18.2","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"","008
307","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","009
307","9","3.111","33.3",".","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
010","14","3.286","50.0","7.1","14.3","21.4",".","7.1",".",".",".",".",".",".",".",".",".","."
"","307
011","11","2.955","9.1","9.1","54.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
012","7","3.071",".","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","13","3.000","7.7","15.4","53.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","307
014","10","3.300","30.0","40.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","129","3.132","20.9","17.8","38.0","14.7","7.8","0.8",".",".",".",".",".",".",".",".",".","."
"","313
001","54","3.296","18.5","37.0","33.3","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","002
313","54","3.509","33.3","42.6","16.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","108","3.403","25.9","39.8","25.0","7.4","1.9",".",".",".",".",".",".",".",".",".",".","."
"","001
314","53","2.840","11.3","17.0","24.5","22.6","24.5",".",".",".",".",".",".",".",".",".",".","."
"","002
314","49","2.857","8.2","20.4","24.5","32.7","12.2","2.0",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","102","2.848","9.8","18.6","24.5","27.5","18.6","1.0",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","331
001","138","3.154","13.0","36.2","29.7","13.0","5.1",".","1.4",".",".",".",".",".","1.4",".",".","."
"Intro to Dynamic Systems","340
001","124","3.121","21.8","23.4","30.6","13.7","6.5","4.0",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","82","2.902","11.0","18.3","29.3","23.2","18.3",".",".",".",".",".",".",".",".",".",".","."
"","349
002","8","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","15","3.333","20.0","26.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","15","3.367","6.7","60.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
009","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 132 of 403",""
