"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","",".",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"Senior","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","3","4.000","66.7",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","33.3","."
"Special","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","11","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","23","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","10","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","43","3.694","62.8","18.6","14.0","4.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","78","3.710","37.2","10.3","7.7","2.6","",".","",".","",".","42.3","",".",".","",".","",".","",".",".",".","."
