"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","36","3.236","27.8","22.2","36.1","2.8","8.3","2.8",".",".",".",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"300
Intro to Plant Pathology","001","","66","3.269","34.8","13.6","31.8","6.1","12.1",".",".","1.5",".",".",".",".",".",".",".","."
"309
Diseases of Trees and Shrubs","001","","13","3.231","23.1","38.5","7.7","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"311
Global Food Security","001","","19","3.553","36.8","47.4","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"590","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"622
Plant-Bacterial Interactns","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Plant Pathology Tchg","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Inquiry-Based Biology Teaching","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Teaching Biol: Special Topics","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","002","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"923
Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","",".",".",".",".",".",".",".","25.9",".",".",".","74.1",".",".",".","."
