"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","275
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
275","16","3.313","31.3","25.0","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in ILS","Course Total","121","3.387","38.0","17.4","28.9","6.6","1.7","2.5",".","4.1",".",".",".",".","0.8",".",".","."
"Directed Study","299
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Peer Mentor 1st-Yr Lib Ed Smr","338
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Mentor Seminar","357
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","17","2.676","17.6","5.9","29.4","11.8","23.5","11.8",".",".",".",".",".",".",".",".",".","."
"Interdis in Arts & Humanities","Course Total","23","2.848","13.0","21.7","30.4","8.7","17.4","8.7",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Integrated LiberalStudies","Course Total","2","***","","","","","","","","","","","","","","","",""
