"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","59","4.000","71.2",".",".",".",".","",".","",".","27.1","",".",".","",".","",".",".",".","1.7","."
"Prof Yr 2","9","4.000","22.2",".",".",".",".","",".","",".","77.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","251","3.443","25.9","10.4","20.3","2.0","3.6","",".","",".","37.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","337","4.000","30.3",".",".",".",".","",".","",".","63.8","",".",".","",".","",".","0.6",".","5.3","."
"Professionals","656","3.570","32.2","4.0","7.8","0.8","1.4","",".","",".","50.8","",".",".","",".","",".","0.3",".","2.9","."
