"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","124","3.089","16.9","22.6","34.7","16.1","8.1","1.6",".",".",".",".",".",".",".",".",".","."
"","300
002","127","3.039","15.7","20.5","37.0","14.2","11.0","0.8","0.8",".",".",".",".",".",".",".",".","."
"","300
003","126","3.108","16.7","25.4","35.7","11.9","7.1","1.6","0.8",".",".",".",".",".",".","0.8",".","."
"Operations Management","Course Total","377","3.078","16.4","22.8","35.8","14.1","8.8","1.3","0.5",".",".",".",".",".",".","0.3",".","."
"Principles & Tech-Qual Mgmt","351
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","370
001","35","3.485","22.9","48.6","25.7",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Operations Research I","410
001","21","3.595","47.6","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Logistics Management","422
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","17","3.500","41.2","23.5","17.6","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"Economics of Transportation","444
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Logistics Analysis","640
001","21","3.262","19.0","28.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","710
001","14","3.607","42.9","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","31","3.774","58.1","38.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
031","34","3.530","47.1","17.6","26.5","2.9","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"Economics of Transportation","744
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","19","3.833","63.2","31.6",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","3","***","","","","","","","","","","","","","","","",""
"OTM
238","Dept. Total","619","3.286","28.1","25.7","28.1","10.0","5.7","0.8","0.3","0.2",".",".",".","0.5","0.5","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"Sophomore","","64","3.141","21.9","17.2","37.5","17.2","4.7","1.6",".",".",".",".",".",".",".",".",".","."
"Junior","","222","3.110","19.8","22.5","32.0","14.9","9.0","1.8",".",".",".",".",".",".",".",".",".","."
"Senior","","180","3.244","21.1","30.0","32.8","8.3","6.1",".","0.6","0.6",".",".",".",".",".","0.6",".","."
"Undergraduates","","466","3.166","20.6","24.7","33.0","12.7","7.3","1.1","0.2","0.2",".",".",".",".",".","0.2",".","."
"Special","","15","3.300","40.0","20.0","33.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Graduate","","138","3.688","52.2","29.7","10.9","2.2","0.7",".",".",".",".",".",".","2.2","2.2",".",".","."
"","Dept. Total","619","3.286","28.1","25.7","28.1","10.0","5.7","0.8","0.3","0.2",".",".",".","0.5","0.5","0.2",".","."
