"EDU","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","502
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
003","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","27","3.867","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
002","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Field Experience-Ed Ldrship","Course Total","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","701
001","","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
701","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","Course Total","","39","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Educational Leadership","702
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athletics Administration","710
001","","16","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715
001","","24","3.708","45.8","50.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
001","","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","Course Total","","27","3.815","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ldrship for Equity & Diversity","735
001","","9","4.000","55.6",".",".",".",".",".",".",".",".",".",".",".","44.4",".",".","."
"Adult Learner:Implictn for C&I","746
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","785
003","","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","004
785","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Staff Personnel Sys in Ed","Course Total","","20","3.895","85.0",".","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Intro Quant Inquiry in Educ","001
822","","19","3.474","63.2","10.5","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Finance","830
001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public School Law","840
001","","20","3.947","85.0","10.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Technology Leadership","844
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","846
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
846","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"The School Superintendency","Course Total","","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Org Theory&Behavior in Educ","860
001","","9","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","22.2",".","11.1","."
"The Politics of Education","870
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890
203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","940
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","","24","3.688","50.0","41.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","","72","3.891","81.9","13.9","1.4","1.4",".",".",".",".",".",".",".",".","1.4",".",".","."
"","990
003","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 88 of 403"
