"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"160
Heredity","001","","95","3.221","37.9","11.6","26.3","9.5","12.6","2.1",".",".",".",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","44","3.978","93.2",".","2.3",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"466
General Genetics","001","","137","2.310","5.8","4.4","28.5","6.6","37.2","10.9","4.4","1.5",".",".",".",".","0.7",".",".","."
"470
Basic Cytology & Lab Procudure","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"545","001","","12","3.417","41.7","8.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"545","002","","8","3.125",".","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","20","3.300","25.0","25.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Human Genetics","001","","56","3.107","16.1","17.9","46.4","10.7","8.9",".",".",".",".",".",".",".",".",".",".","."
"570
The Female Reproductive System","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"571
Clinical Practice I","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
The Respiratory System","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
The Genitourinary System","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"629
Evolutionary Genetics","001","","23","3.275","34.8","8.7","21.7","13.0","8.7",".",".",".",".",".",".",".",".",".","13.0","."
"677","001","","8","3.188","12.5","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"677","002","","15","3.330","33.3","26.7","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"677","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","42","3.532","59.5","16.7","9.5","11.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 27 of 403"
