"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","","374","2.976","11.8","25.7","29.1","18.2","12.6","1.9","0.5",".",".",".",".",".",".","0.3",".","."
"WIScholars:Wi Intntl Schlr Smr","212
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
001","","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","310
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
003","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
004","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
006","","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"","310
007","","6","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"","310
008","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
012","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
014","","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","93","",".",".",".",".",".",".",".",".",".","95.7","3.2",".",".",".",".","."
"Comparative Study of Genocide","318
001","","49","3.245","26.5","30.6","22.4","10.2","8.2","2.0",".",".",".",".",".",".",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","322
001","","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Growth&Develpmt Global Econ","374
001","","31","3.161","29.0","12.9","35.5","12.9","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","601
001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics&Policy in Global Econ","602
001","","15","3.233","13.3","40.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","622
001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"INTL ST
504","Dept. Total","","630","3.084","15.6","21.7","22.4","12.4","8.6","1.4","0.3",".",".","16.5","0.5",".","0.2","0.2","0.2","."
