"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Intermed Language & Culture","Course Total","","76","3.287","26.3","32.9","27.6","1.3","5.3","2.6","1.3","2.6",".",".",".",".",".",".",".","."
"Ethnic St-Fr/Francophone Wrlds","248
001","","10","3.100","50.0","10.0","10.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","271
001","","18","3.728","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","20","3.288","20.0","45.0","30.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","271
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","51","3.610","51.0","29.4","17.6",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Directed Study","299
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","001
301","","35","3.971","94.3",".","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","","23","3.705","52.2","39.1",".",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","321
001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","14","3.464","7.1","78.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","Course Total","","32","3.734","53.1","40.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","23","3.717","47.8","47.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","14","3.500","7.1","78.6","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","Course Total","","37","3.639","32.4","59.5","5.4",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","347
001","","13","3.346","46.2","23.1","7.7",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"","347
002","","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","Course Total","","33","3.576","51.5","30.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348
001","","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings in Early Modern Lit","431
001","","15","3.821","60.0","33.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"French/Francophone Cultrl Stdy","462
001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Phonetics","001
590","","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Grammaire avancee","615
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Siecle des Lumieres","001
630","","14","3.615","42.9","28.6","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Litterature-XVIIe Siecle","640
001","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
024","","18","3.970","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.974","90.5","4.8",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Interdis W Europ Studies Sm","804
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Romance Philology","817
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of French","820
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Materials&Methods-Rsch","901
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
