"EDU","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","22","3.714","63.6","22.7",".","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","1
002","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
003","45","3.856","77.8","17.8","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","004
1","42","3.951","92.9","2.4",".","2.4",".",".",".","2.4",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","121","3.851","79.3","14.0","1.7","2.5","0.8",".",".","1.7",".",".",".",".",".",".",".","."
"Contemporary Dance I","11
001","33","3.603","54.5","18.2",".","9.1","6.1",".",".","12.1",".",".",".",".",".",".",".","."
"","111
001","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","14","3.870","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","28","3.797","75.0","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","118
001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","76","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121
001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Asian American Movement","Course Total","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","9","3.875","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
001","43","3.714","69.8","14.0","9.3",".","2.3","2.3",".","2.3",".",".",".",".",".",".",".","."
"","002
135","22","3.690","68.2","22.7",".",".",".",".","4.5",".",".",".",".",".","4.5",".",".","."
"Pilates Mat I","Course Total","65","3.706","69.2","16.9","6.2",".","1.5","1.5","1.5","1.5",".",".",".",".","1.5",".",".","."
"Dance Production","140
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Collaborative Arts Workshop","159
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Workshop","162
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165
001","21","3.738","66.7","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","2
001","49","3.826","79.6","4.1","4.1","4.1","2.0",".",".","4.1","2.0",".",".",".",".",".",".","."
"","2
002","47","3.854","68.1","12.8","6.4",".",".",".",".","12.8",".",".",".",".",".",".",".","."
"","2
003","36","3.871","86.1","2.8","5.6",".","2.8",".",".","2.8",".",".",".",".",".",".",".","."
"","2
004","42","3.951","90.5","4.8","2.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","005
2","19","3.694","57.9","26.3",".","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","193","3.856","78.2","8.3","4.1","2.1","1.0",".",".","5.7","0.5",".",".",".",".",".",".","."
"Writing the Moving Body","001
200","12","3.708","83.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","211
001","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","12","3.763","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Contemp Dance Tech & Th III","Course Total","28","3.664","46.4","35.7","14.3",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"New Movement Techniques","213
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"African Dance Performance","218
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","21","3.684","57.1","33.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255
001","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Perform Lab","259
001","31","3.734","67.7","6.5","9.7","3.2","3.2",".",".",".",".",".",".",".","9.7",".",".","."
"Dance Hist I: Renaissance-50's","265
001","22","3.841","86.4","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
