"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"201","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"250","001","","32","3.613","56.3","15.6","18.8","3.1","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"250","002","","27","3.778","70.4","14.8","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"250","003","","30","3.339","36.7","23.3","20.0","6.7","3.3",".","3.3","3.3",".",".",".",".","3.3",".",".","."
"250","004","","25","3.660","56.0","20.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"250","005","","27","3.480","55.6","7.4","14.8","7.4","3.7","3.7",".",".",".",".",".",".","3.7","3.7",".","."
"250","006","","34","3.226","44.1","11.8","17.6",".","8.8","5.9","2.9",".",".",".",".",".","5.9","2.9",".","."
"Survey of Land Arch Design","Course Total","","175","3.509","52.6","15.4","18.3","2.9","3.4","1.7","1.1","1.1",".",".",".",".","2.3","1.1",".","."
"261
Prin Land Arc Dsgn&Graphics","001","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","5","***","","","","","","","","","","","","","","","",""
"354
Landscape Arch Tech II","001","","16","3.467","56.3","18.8","6.3","6.3",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"365
Planting Design I","001","","14","3.500","42.9","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","13","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"462
Regional Design","001","","21","3.842","61.9","28.6",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"550
Professionl Pract-Land Arch","001","","17","3.441","35.3","47.1","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"610
Seminar-Landscape Arch","001","","17","3.500","35.3","29.4","29.4",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"666
Restoration Ecology","001","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"670
Adaptive Restoration Lab","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","6","3.846","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Theories-Landscape Change","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Crit Inquiry-Landscape Dsgn","001","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"866
Nat Plnt Comm Restoratn&Mgt","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Graduate Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 33 of 403"
