"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","67","2.937","9.0","17.9","41.8","9.0","14.9",".","","1.5",".","",".","",".",".","",".","","6.0",".",".","."
"","121
001","12","3.708","50.0","41.7","8.3",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","121
002","16","3.875","75.0","25.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Asian American Movement","Course Total","28","3.804","64.3","32.1","3.6",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","152","3.688","50.0","40.1","7.2","2.6",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Ethnic Movements in U.S.","220
001","17","3.563","23.5","58.8","11.8",".",".",".","",".",".","",".","",".",".","",".","","5.9",".",".","."
"Topics-Asian Amer Studies","240
001","27","3.574","48.1","33.3","7.4","7.4","3.7",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","540
001","29","3.776","69.0","20.7","6.9","3.4",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","540
002","25","3.696","64.0","4.0","20.0","4.0",".",".","",".",".","",".","",".",".","",".","","8.0",".",".","."
"Special Topics","Course Total","54","3.740","66.7","13.0","13.0","3.7",".","",".",".","",".","",".",".","",".","",".","3.7",".",".","."
"Asian Amer Women Writers","595
001","14","3.714","57.1","28.6","14.3",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Ind Study:Directed Readings","699
001","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"ASIAN AM
184","Dept. Total","363","3.549","44.6","30.9","14.6","4.7","3.0","",".","0.3","",".","",".",".","",".","",".","1.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","36","3.429","33.3","30.6","19.4","13.9",".","",".",".","",".","",".",".","",".","",".","2.8",".",".","."
"Sophomore","","90","3.534","36.7","41.1","14.4","1.1","4.4","",".",".","",".","",".",".","",".","",".","2.2",".",".","."
"Junior","","107","3.564","49.5","26.2","16.8","3.7","1.9","",".","0.9","",".","",".",".","",".","",".","0.9",".",".","."
"Senior","","129","3.581","49.6","27.1","11.6","5.4","3.9","",".",".","",".","",".",".","",".","",".","2.3",".",".","."
"Undergraduates","","362","3.549","44.8","30.7","14.6","4.7","3.0","",".","0.3","",".","",".",".","",".","",".","1.9",".",".","."
"Special","","1","3.500",".","100.0",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","363","3.549","44.6","30.9","14.6","4.7","3.0","",".","0.3","",".","",".",".","",".","",".","1.9",".",".","."
