"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","327","3.057","22.9","19.6","19.6","22.3","15.3","0.3",".",".",".",".",".",".",".",".",".","."
"","103
002","303","2.937","19.1","18.8","19.5","20.8","19.5","1.0","1.0",".",".",".",".",".",".","0.3",".","."
"General Physics","Course Total","630","2.999","21.1","19.2","19.5","21.6","17.3","0.6","0.5",".",".",".",".",".",".","0.2",".","."
"","104
001","197","3.013","14.7","24.4","28.9","18.8","11.2","1.0","1.0",".",".",".",".",".",".",".",".","."
"","002
104","126","2.928","14.3","17.5","31.7","19.0","14.3","0.8","1.6","0.8",".",".",".",".",".",".",".","."
"General Physics","Course Total","323","2.980","14.6","21.7","30.0","18.9","12.4","0.9","1.2","0.3",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","62","3.422","48.4","22.6","11.3","1.6","3.2","3.2","3.2","6.5",".",".",".",".",".",".",".","."
"","109
001","146","3.322","24.7","33.6","25.3","14.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"","109
002","136","3.474","36.0","34.6","20.6","7.4","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","282","3.395","30.1","34.0","23.0","11.0","1.4","0.4",".",".",".",".",".",".",".",".",".","."
"Energy","115
001","90","3.638","56.7","15.6","21.1","1.1","2.2",".",".","1.1",".",".",".",".",".","2.2",".","."
"General Physics","201
001","294","2.882","20.4","17.3","17.3","19.7","20.1","3.4","1.4",".",".",".",".",".","0.3",".",".","."
"","202
001","249","2.836","14.9","20.1","19.7","18.1","21.7","4.0","0.8","0.4",".",".",".",".",".",".",".","0.4"
"","002
202","237","2.905","17.3","20.7","18.1","16.9","25.3","1.7",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","486","2.870","16.0","20.4","18.9","17.5","23.5","2.9","0.4","0.2",".",".",".",".",".",".",".","0.2"
"Mod Physics for Engineers","205
001","14","2.964","21.4","21.4","21.4",".","35.7",".",".",".",".",".",".",".",".",".",".","."
"","206
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","206
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Physics","Course Total","4","***","","","","","","","","","","","","","","","",""
"General Physics","207
001","280","3.241","14.6","36.8","35.0","10.4","1.8",".","0.7",".",".",".",".",".",".",".",".","0.7"
"General Physics","208
001","130","3.112","17.7","26.9","26.9","18.5","7.7","1.5",".",".",".",".",".",".","0.8",".",".","."
"Intro-Solid State Electronics","235
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","39","2.538","7.7","5.1","28.2","25.6","25.6","5.1","2.6",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","001
247","61","3.060","21.3","19.7","27.9","14.8","8.2",".","3.3",".",".",".",".",".",".",".","1.6","3.3"
"A Modern Intro to Physics","249
001","38","3.347","31.6","28.9","21.1","5.3","5.3","2.6",".","2.6",".",".",".",".",".",".",".","2.6"
"Directed Study","299
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
307","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","006
307","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","80","3.825","73.8","20.0","3.8","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","38","2.961","10.5","13.2","42.1","26.3","7.9",".",".",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","28","3.214","25.0","28.6","25.0","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","001
322","41","3.061","29.3","22.0","29.3","4.9","4.9","2.4","7.3",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","40","2.950","30.0","2.5","37.5","7.5","15.0","5.0","2.5",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","33","2.969","24.2","12.1","33.3","12.1","3.0","12.1",".",".",".",".",".",".","3.0",".",".","."
"Radioisotopes-Med & Biology","463
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","498
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
063","2","***","","","","","","","","","",".",".",".",".",".",".","."
