"","967
041","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
042","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Pediatric Pulmonary Clrk-CSC","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","","","",""
"Research","990
070","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PEDIAT
708","Dept. Total","148","3.770","75.0","16.2","8.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","11","4.000","90.9",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","9.1","."
"Senior","","19","3.947","89.5","10.5",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","30","3.963","90.0","6.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.3","."
"Special","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","42","3.900","83.3","16.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","34","3.576","47.1","23.5","29.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","39","3.859","79.5","15.4","5.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","74","3.697","63.5","20.3","16.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","148","3.770","75.0","16.2","8.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","0.7","."
