"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"1","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ-F & W Ecology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"101
Orientation to Wildlfe Ecology","001","","36","3.889","91.7","5.6",".",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"299","026","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"309
Diseases of Trees and Shrubs","001","","12","3.250","41.7","8.3","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","39","2.987","15.4","25.6","20.5","17.9","20.5",".",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","70","3.179","18.6","27.1","40.0","8.6","2.9","1.4","1.4",".",".",".",".",".",".",".",".","."
"375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","20","3.675","45.0","50.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","006","","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","007","","10","3.000",".","20.0","50.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"375","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","64","3.610","48.4","37.5","7.8","4.7",".",".",".","1.6",".",".",".",".",".",".",".","."
"399","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","8","3.909","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"401
Physiologicl Animal Ecology","001","","48","2.766","16.7","8.3","20.8","25.0","22.9","4.2",".",".",".",".",".",".","2.1",".",".","."
"402
Dendrology","001","","12","3.318","41.7","8.3","25.0",".","16.7",".",".",".",".",".",".",".","8.3",".",".","."
"415
Tree Physiology","001","","14","3.375","35.7","14.3","14.3","21.4",".",".",".",".",".",".",".",".","14.3",".",".","."
"455
The Vegetation of Wisconsin","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"460
General Ecology","001","","12","3.500","50.0","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"500
Insects in Forest Ecol & Mgmt","001","","38","3.158","36.8",".","47.4","5.3","5.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","64","3.121","25.0","29.7","17.2","6.3","14.1","3.1","1.6",".",".",".",".",".",".","3.1",".","."
"550
Forest Ecology","001","","108","3.609","57.4","18.5","16.7","3.7","0.9","2.8",".",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","33","3.359","36.4","27.3","18.2",".","15.2",".",".",".",".",".",".",".",".",".","3.0","."
"571","001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","13","3.346","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"590
Integrated Resource Mgmt","001","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
