"HISTORY OF SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","",""
"125
Green Screen","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201
Origins-Scientific Thought","001","","84","2.963","22.6","15.5","22.6","22.6","9.5","1.2","3.6",".",".",".",".",".","1.2",".","1.2","."
"203
Sci in 20th C:Hist Overview","001","","82","3.238","19.5","46.3","22.0","6.1","1.2",".","4.9",".",".",".",".",".",".",".",".","."
"230
Ag&Soc Change-Western Hist","001","","16","3.156","31.3","6.3","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"286
Honors Seminar: Sci, Tech, Med","001","","18","3.333","22.2","44.4","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"323
Sci Revol:Copernicus-Newton","001","","15","3.708","40.0","33.3","6.7",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"337
History of Technology","001","","24","3.455","20.8","50.0","16.7",".","4.2",".",".","4.2",".",".",".",".","4.2",".",".","."
"350
Spec Topics-Hist of Science","001","","13","3.125","38.5","15.4","15.4","7.7",".","15.4",".",".",".",".",".",".",".",".","7.7","."
"431
Childbirth in the US","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"504
Society&Health Care-Am Hist","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"507
Health, Disease & Healing I","001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Studies in Early Modern Sci","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Historiography & Methods","001","","10","3.917","50.0","10.0",".",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"903
Smr: Medvl Renaiss&17C Sci","001","","10","3.800","30.0","20.0",".",".",".",".",".","10.0",".",".",".",".","40.0",".",".","."
"919
Grad Studies-Medical Hist","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"950
History of Science Colloq","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","4","***","","","","","","","","","","","","","","","",""
