"Practicum-Secondary School Art","493
001","","8","4.000","100.0",".","","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Learning Through Design","557
001","","4","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Reading & Rsch","699
061","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Seminar in Art Education","951
001","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"ART ED
176","Dept. Total","","52","4.000","96.2","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","3.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","4.000","66.7","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","33.3",".",".","."
"Junior","","","8","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","34","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","45","4.000","97.8","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","2.2",".",".","."
"Graduate","","","7","4.000","85.7","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","14.3",".",".","."
"","Dept. Total","","52","4.000","96.2","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","3.8",".",".","."
