"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"SOC WORK
896","Dept. Total","2008","3.531","44.3","31.1","13.6","4.6","1.8","0.6","0.5","0.6","0.0",".","",".","0.2","2.0","0.1","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","76","3.151","7.9","36.8","38.2","11.8","5.3",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","97","3.224","9.3","43.3","34.0","9.3","4.1",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","223","3.168","20.6","37.7","20.6","9.0","5.4","2.7","1.8",".",".",".","",".",".","1.3",".","0.9","."
"Senior","","401","3.482","42.1","30.2","16.2","6.2","2.0","1.5","0.7",".",".",".","",".",".","0.7","0.2",".","."
"Undergraduates","","797","3.326","28.9","34.5","21.7","7.9","3.5","1.5","0.9",".",".",".","",".",".","0.8","0.1","0.3","."
"Special","","19","3.570","36.8","31.6","5.3",".","5.3",".",".",".",".",".","",".",".",".","5.3","15.8","."
"Graduate","","1192","3.720","54.4","28.9","8.4","2.5","0.7",".","0.3","1.0","0.1",".","",".","0.3","2.9",".","0.6","."
"Prof Yr 2","","4","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","5","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","2013","3.531","44.2","31.0","13.6","4.6","1.8","0.6","0.5","0.6","0.0",".","",".","0.2","2.0","0.1","0.6","."
