"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","203
001","72","2.743","18.1","13.9","20.8","15.3","25.0","2.8","4.2",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","210
001","143","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","83","3.665","71.1","12.0","4.8","6.0","2.4","1.2","1.2","1.2",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","49","2.980","24.5","28.6","12.2","20.4","4.1","4.1","6.1",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","76","2.868","22.4","25.0","13.2","11.8","18.4","3.9","5.3",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","65","3.169","36.9","7.7","16.9","29.2","9.2",".",".",".",".",".",".",".",".",".",".","."
"","002
252","83","3.291","37.3","21.7","15.7","9.6","7.2","2.4","1.2",".",".",".",".",".","4.8",".",".","."
"","003
252","26","3.327","42.3","19.2","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","109","3.300","38.5","21.1","15.6","9.2","9.2","1.8","0.9",".",".",".",".",".","3.7",".",".","."
"","270
001","28","3.554","57.1","17.9","21.4",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"","270
002","33","3.455","60.6","18.2","9.1",".","6.1",".","6.1",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","61","3.500","59.0","18.0","14.8",".","3.3",".","4.9",".",".",".",".",".",".",".",".","."
"","271
001","32","3.797","78.1","15.6",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","271
002","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","52","3.827","78.8","15.4","1.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","305
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","20","3.947","85.0","10.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","32","3.968","90.6","6.3",".",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","29","3.241","31.0","10.3","37.9","17.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","16","2.750","6.3","6.3","43.8","18.8","25.0",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","60","2.767","21.7","6.7","25.0","16.7","23.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","35","2.871","22.9","11.4","17.1","31.4","8.6","8.6",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","34","3.221","47.1","14.7","11.8","11.8","5.9","5.9","2.9",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","68","3.118","22.1","10.3","44.1","16.2","7.4",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","60","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","48","3.287","20.8","39.6","22.9","8.3","4.2","2.1",".",".",".",".",".",".","2.1",".",".","."
"","352
002","23","3.152","26.1","26.1","21.7","21.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","71","3.243","22.5","35.2","22.5","12.7","2.8","1.4","1.4",".",".",".",".",".","1.4",".",".","."
"Intro to Microprocessor Sys","353
001","43","3.214","32.6","14.0","30.2","14.0","4.7",".","2.3","2.3",".",".",".",".",".",".",".","."
"","354
001","14","3.179","28.6","21.4","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","354
002","28","3.286","35.7","21.4","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","42","3.250","33.3","21.4","21.4","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
