"Independent Study","","","","","","","","","","","","","","","","","","","","","","","","",""
"Computational Cognitive Sci","841
001","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Computn&Informatcs in Biol&Med","915
001","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Hlth Informatics-Med Students","918
020","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"B M I
210","Dept. Total","114","3.686","58.8","14.9","13.2","2.6","",".","0.9","",".","6.1","",".",".","",".","",".","",".",".","3.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","1","3.000",".",".","100.0",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","6","3.333","50.0","33.3",".",".","",".","16.7","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","8","3.375","50.0","25.0","12.5",".","",".","12.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","14","3.458","28.6","28.6","21.4","7.1","",".",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","50","3.763","58.0","18.0","6.0","2.0","",".",".","",".","8.0","",".",".","",".","",".","",".",".","8.0","."
"Prof Yr 2","","2","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","3","3.500","33.3","33.3","33.3",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","37","3.750","73.0","2.7","18.9","2.7","",".",".","",".","2.7","",".",".","",".","",".","",".",".",".","."
"Professionals","","42","3.744","71.4","4.8","19.0","2.4","",".",".","",".","2.4","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","114","3.686","58.8","14.9","13.2","2.6","",".","0.9","",".","6.1","",".",".","",".","",".","",".",".","3.5","."
