"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"CHICLA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.000",".","50.0",".","50.0",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","22","3.627","68.2","9.1","9.1","13.6",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","41","3.638","65.9","12.2","14.6",".","7.3",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","24","3.395","45.8","25.0","16.7","8.3",".","4.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","89","3.555","59.6","15.7","13.5","6.7","3.4","1.1","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
