"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","365
016","23","3.913","91.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","017
365","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
018","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
019","23","3.870","87.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","365
020","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
021","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
022","24","3.917","95.8",".",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","365
023","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
024","23","3.870","87.0","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","365
025","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
026","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
027","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","028
365","21","3.905","95.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","029
365","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","033
365","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
034","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","365
035","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
036","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
037","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
038","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
039","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","040
365","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","041
365","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
042","22","3.818","81.8","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","365
043","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","948","3.912","90.9","5.6","2.1","0.5","0.7","0.1",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topcs on Sustainable Bus Pract","600
001","25","3.300","36.0","16.0","40.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"","704
001","51","3.314","15.7","35.3","45.1","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","50","3.530","36.0","46.0","16.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Data to Decisions","Course Total","101","3.421","25.7","40.6","30.7","2.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"Ethics, Integrity and Society","710
001","92","3.821","84.8","5.4","3.3","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","7","2.667","57.1",".",".",".",".",".","28.6",".",".",".",".",".","14.3",".",".","."
"","765
030","50","3.660","32.0","68.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","33","3.773","63.6","30.3","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","90","3.669","45.6","48.9","1.1","1.1",".",".","2.2",".",".",".",".",".","1.1",".",".","."
"Panel Data Analysis","806
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","965
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
