"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Seminar-Athletic Training","Course Total","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","002","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","003","","50","3.650","56.0","24.0","14.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"508","004","","31","3.323","19.4","32.3","41.9","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","Course Total","","96","3.548","49.0","25.0","20.8","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"521
Physical Activity & Health","001","","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Teacher Ed-Human Sexuality","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Iss, Mtls & Mthds-Hlth Educ","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Advanced Exercise Psychology","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Lab Tech-Exercise Physiol","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"721
Neural Basis for Movement","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Cardiores Adapt-Envr&Exer","001","","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar in Kinesiology","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","12","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"991
Rsch in Physical Activity","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
