"L&S","","","","","","","","","","","","","","","","","","","",""
"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"205
Islam Wrld:MidEast,500-1500","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"244
SE Asia:Vietnam to Philipns","001","","6","3.000","33.3","33.3",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"252
Civs of India-Modern Period","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"266
Intro to the Middle East","001","","88","4.000","98.9",".",".",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"273
Religion-Hist&Culture: East","001","","12","3.091","33.3","16.7",".","16.7","25.0",".",".",".",".",".",".",".",".",".","8.3","."
"300","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"300","002","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LCA","Course Total","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"355
Hinduism","001","","29","3.690","62.1","13.8","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"357
Literatures-Muslim Societies","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Survey of Indonesian Cultures","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Islam: Religion and Culture","001","","14","3.607","57.1","21.4","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"379
Cities of Asia","001","","7","2.714",".","14.3","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"403
Southeast Asian Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"421
Survey of Tibetan Buddhism","001","","22","3.925","77.3","13.6",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"457
Hist Southeast Asia to 1800","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Capstone Smr-Asian Humanities","001","","21","3.333","42.9","19.0","19.0","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"802
Topics in Religions of Asia","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","55.6",".",".",".","33.3","11.1",".",".","."
