"PROFESSIONAL ORIENTATION","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Career Orientation","200
001","","15","3.300","66.7","13.3","",".","6.7","",".","",".","13.3",".","",".","",".",".","",".","",".","",".",".","."
"PRO OR
812","Dept. Total","","15","3.300","66.7","13.3","",".","6.7","",".","",".","13.3","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","6","3.250","66.7","16.7","",".",".","",".","",".","16.7","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","3.600","60.0","20.0","",".","20.0","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","11","3.409","63.6","18.2","",".","9.1","",".","",".","9.1","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","4.000","100.0",".","",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","0.000",".",".","",".",".","",".","",".","100.0","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","15","3.300","66.7","13.3","",".","6.7","",".","",".","13.3","",".","",".",".","",".","",".","",".",".",".","."
